Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 866.645, 12.2991, 13.7031, 10.2005, 2.8, 94.3523, 0.6, 4.2
1, 863.682, 12.8018, 13.9462, 8.50982, 4.8, 96.0597, 0.3, 4.6
2, 860.907, 13.017, 14.3423, 6.47008, 7.05714, 97.6638, 0.4, 4.3
3, 858.343, 12.977, 14.9402, 5.78895, 7.75306, 99.1504, 0.3, 5.8
4, 855.8, 12.9252, 15.4899, 5.45408, 8.09927, 100.631, 0.1, 4.2
5, 853.238, 12.9021, 16.193, 3.64001, 9.72075, 102.127, 0.6, 4.3
6, 850.823, 12.7367, 16.4426, 3.65414, 9.92641, 103.544, 0.4, 2.8
7, 848.383, 12.6293, 16.5513, 2.45733, 11.4174, 104.979, 0.3, 6.1
8, 846.08, 12.4066, 16.9371, 1.23956, 12.6019, 106.337, 0.6, 5.2
9, 843.884, 12.1212, 17.2643, 1.20081, 12.6017, 107.635, 0.6, 5.6
10, 841.66, 11.9211, 17.4281, 1.34231, 12.5016, 108.954, 0.4, 4.8
11, 839.406, 11.7908, 17.7522, 1.36169, 12.3086, 110.295, 0.5, 5
12, 837.118, 11.7209, 18.1349, 1.17188, 12.2294, 111.66, 0.7, 4.7
13, 834.813, 11.6817, 18.1804, 1.09143, 12.3559, 113.039, 0.6, 3.5
14, 832.518, 11.6403, 18.3173, 1.51685, 11.8733, 114.416, 0.3, 3
15, 830.162, 11.6682, 18.0385, 1.70693, 12.0252, 115.833, 0.3, 5
16, 827.822, 11.6738, 18.2836, 1.9851, 11.5663, 117.243, 0.3, 3.8
17, 825.428, 11.733, 18.412, 1.84373, 11.6401, 118.691, 0.4, 3.9
18, 823.043, 11.7721, 18.4395, 2.01602, 11.5087, 120.138, 0.3, 2.9
19, 820.642, 11.8183, 18.5705, 1.47834, 11.9866, 121.599, 0.6, 5.7
